time,H986,H1222,H1827,H3434
518070601.0000,31.27198096,31.65077520,31.97169119,32.17002667
519385501.0000,31.27198080,31.65077503,31.97169102,32.17002650
520700401.0000,31.27198067,31.65077489,31.97169088,32.17002636
522015301.0000,31.27198051,31.65077472,31.97169070,32.17002619
523330201.0000,31.27198038,31.65077459,31.97169057,32.17002605
524645101.0000,31.27198022,31.65077442,31.97169039,32.17002588
525960001.0000,31.27198009,31.65077428,31.97169026,32.17002575
527274901.0000,31.27197993,31.65077411,31.97169008,32.17002557
528589801.0000,31.27197980,31.65077398,31.97168995,32.17002544
529904701.0000,31.27197964,31.65077381,31.97168978,32.17002527
531219601.0000,31.27197951,31.65077368,31.97168965,32.17002514
532534501.0000,31.27197935,31.65077351,31.97168947,32.17002497
533849401.0000,31.27197923,31.65077338,31.97168934,32.17002484
535164301.0000,31.27197907,31.65077321,31.97168917,32.17002467
536479201.0000,31.27197894,31.65077308,31.97168904,32.17002454
537794101.0000,31.27197879,31.65077292,31.97168887,32.17002437
539109001.0000,31.27197866,31.65077278,31.97168874,32.17002424
540423901.0000,31.27197851,31.65077262,31.97168857,32.17002407
541738801.0000,31.27197838,31.65077249,31.97168844,32.17002394
543053701.0000,31.27197823,31.65077233,31.97168827,32.17002377
544368601.0000,31.27197810,31.65077220,31.97168814,32.17002365
545683501.0000,31.27197795,31.65077204,31.97168797,32.17002348
546998401.0000,31.27197782,31.65077191,31.97168784,32.17002335
548313301.0000,31.27197767,31.65077175,31.97168768,32.17002319
549628201.0000,31.27197755,31.65077162,31.97168755,32.17002306
550943101.0000,31.27197740,31.65077146,31.97168738,32.17002290
552258001.0000,31.27197727,31.65077133,31.97168726,32.17002277
553572901.0000,31.27197712,31.65077117,31.97168709,32.17002261
554887801.0000,31.27197700,31.65077104,31.97168697,32.17002248
556202701.0000,31.27197685,31.65077088,31.97168680,32.17002232
557517601.0000,31.27197673,31.65077076,31.97168668,32.17002220
558832501.0000,31.27197658,31.65077060,31.97168651,32.17002203
560147401.0000,31.27197646,31.65077048,31.97168639,32.17002191
561462301.0000,31.27197631,31.65077032,31.97168623,32.17002175
562777201.0000,31.27197619,31.65077019,31.97168610,32.17002163
564092101.0000,31.27197605,31.65077004,31.97168594,32.17002147
565407001.0000,31.27197593,31.65076991,31.97168582,32.17002135
566721901.0000,31.27197578,31.65076976,31.97168566,32.17002119
568036801.0000,31.27197566,31.65076964,31.97168554,32.17002106
569351701.0000,31.27197552,31.65076948,31.97168538,32.17002091
570666601.0000,31.27197540,31.65076936,31.97168525,32.17002079
571981501.0000,31.27197525,31.65076921,31.97168510,32.17002063
573296401.0000,31.27197514,31.65076909,31.97168497,32.17002051
574611301.0000,31.27197499,31.65076893,31.97168482,32.17002035
575926201.0000,31.27197487,31.65076881,31.97168470,32.17002023
577241101.0000,31.27197473,31.65076866,31.97168454,32.17002008
578556001.0000,31.27197462,31.65076854,31.97168442,32.17001996
579870901.0000,31.27197447,31.65076839,31.97168426,32.17001980
581185801.0000,31.27197436,31.65076827,31.97168414,32.17001969
582500701.0000,31.27197422,31.65076812,31.97168399,32.17001953
583815601.0000,31.27197410,31.65076800,31.97168387,32.17001941
585130501.0000,31.27197396,31.65076785,31.97168372,32.17001926
586445401.0000,31.27197385,31.65076773,31.97168360,32.17001914
